,Page_title,Subtitle,Lists,Context,List_tags
0,creating numbered or bulleted lists as you type,to enable automatic numbering and bulleting,"choose tools - autocorrect - autocorrect options , click the options tab, and then select 'bulleted and numbered lists'. <st> choose tools - autocorrect , and ensure that while typing is selected.",libreoffice can automatically apply numbering or bullets as you type.,1
1,creating numbered or bulleted lists as you type,to create a numbered or bulleted list while you type,"type 1., i., or i. to start a numbered list. type  or - to start a bulleted list. you can also type a right parenthesis after the number instead of a period , for example, 1) or i). <st> enter a space, type your text, and then press enter. the new paragraph automatically receives the next number or bullet. <st> press enter again to finish the list.",,1
2,changing page background,to change the page background,"to only apply the new page style to a single page, select ""default"". <st> to apply the new page style to all subsequent pages, select the name of the new page style.",next style,1
3,changing page background,to use different page backgrounds in the same document,"to change the background of the current page only, select a page style where the next style option is set to ""default"". <st> to change the background of the current and subsequent pages, select a page style where the next style option is set to the name of the page style. if you want to change the page background later on in the document, repeat steps 1 to 3.",style,1
4,changing page background,to change the page background,"choose view - styles . <st> click the page styles icon. <st> in the list of page styles, right-click an item, and then choose new . <st> on the organizer tab page, type a name for the page style in the name box. <st> in the next style box, select the page style that you want to apply to the next page.","libreoffice uses page styles to specify the background of the pages in a document. for example, to change the page background of one or more pages in a document to a watermark, you need to create a page style that uses the watermark background, and then apply the page style to the pages.",1
5,changing page background,to change the page background,"click the background tab. <st> in the list box at the top, select whether you want a solid color or a graphic. then select your options from the tab page. <st> click ok .","to apply the new page style to all subsequent pages, select the name of the new page style.",1
6,changing page background,to change the page background of all pages in a document,choose view - styles . <st> click the page styles icon. <st> double-click the page style that uses the page background that you want to apply.,"before you begin, ensure that you have created a page style that uses a page background. see to change the page background for details.",1
7,changing page background,to use different page backgrounds in the same document,"click in front of the first character of the paragraph where you want to change the page background. <st> choose insert - manual break . <st> select page break . <st> in the style box, select a page style that uses the page background.","before you begin, ensure that you have created a page style that uses a page background. see to change the page background for details.",1
8,saving and opening sheets in html,opening sheets in html,"choose the file type ""html document ( libreoffice calc)"" to open in libreoffice calc. all libreoffice calc options are now available to you. however, not all options that libreoffice calc offers for editing can be saved in html format.",files of type,0
9,saving and opening sheets in html,saving sheets in html,"to save the current calc document as html, choose file - save as . <st> in the file type list box, in the area with the other libreoffice calc filters, choose the file type ""html document ( libreoffice calc)"". <st> enter a file name and click save .",libreoffice,1
10,creating a bibliography,to store information in the bibliography database,"choose tools - bibliography database <st> choose insert - record . <st> type a name for the bibliography entry in the short name box, and then add additional information to the record in the remaining boxes. <st> close the bibliography database window.","libreoffice stores bibliographic information in a bibliography database, or in an individual document.",1
11,creating a bibliography,to store bibliographic information in an individual document,"click in your document where you want to add the bibliography entry. <st> choose insert - table of contents and index - bibliography entry . <st> select from document content and click new . <st> type a name for the bibliography entry in the short name box. <st> select the publication source for the record in the type box, and then add additional information in the remaining boxes. <st> click ok . <st> in the insert bibliography entry dialog, click insert , and then close .",bibliography database,1
12,creating a bibliography,inserting bibliography entries from the bibliography database,click in your document where you want to add the bibliography entry. <st> choose insert - table of contents and index - bibliography entry .,,1
13,creating a bibliography,inserting bibliography entries from the bibliography database,select from bibliography database . <st> select the name of the bibliography entry that you want to insert in the short name box. <st> click insert and then click close .,insert - table of contents and index - bibliography entry,1
14,modifying rows and columns by keyboard,modifying rows and columns by keyboard,"fixed - changes only affect the adjacent cell, and not the entire table. for example, when you widen a cell, the adjacent cell becomes narrower, but the width of the table remains constant. <st> fixed, proportional - changes affect the entire table, and wide cells shrink more than narrow cells. for example, when you widen a cell, the adjacent cells become proportionally narrower, but the width of the table remains constant. <st> variable - changes affect the table size. for example, when you widen a cell, the width of the table increases.",- libreoffice writer - table,0
15,defining print ranges on a sheet,to define a print range,select the cells that you want to print. <st> choose format - print ranges - define .,,1
16,defining print ranges on a sheet,to add cells to a print range,select the cells that you want to add to the existing print range. <st> choose format - print ranges - add .,format - print ranges - define,1
17,defining print ranges on a sheet,to view and edit print ranges,"choose view - page break preview . to change the default zoom factor of the page break preview , double click the percentage value on the status bar, and select a new zoom factor. <st> edit the print range. to change the size of a print range, drag a border of the range to a new location. to delete a manual page break that is contained in a print range, drag the border of the page break outside of the print range. to clear a print range, drag a border of the range onto the opposite border of the range. <st> to exit the page break preview , choose view - normal .","to define a new page break region, drag the border to a new location. when you define a new page break region, an automatic page break is replaced by a manual page break.",1
18,adding numbering,to add numbering to a list,"select the paragraph(s) that you want to add numbering to. <st> on the formatting bar, click the numbering onoff icon . <st> to change the formatting and the hierarchy of a numbered list, click in the list, and then open the bullets and numbering toolbar.",,1
19,drawing curves,drawing curves,"a symmetrical anchor point has the same line curvature on either side, and two control lines that move together as a straight line. <st> a smooth anchor point may have different line curvatures on either side. <st> a corner anchor point has one or two independent control lines. changing one side has no effect on the other side.",bézier curve segments and straight line segments can be joined to form more complex bézier curves. three different transitions can be applied to join adjacent segments:,0
20,drawing curves,how to use the curve tool,"double-click on the position of the end point to finish drawing the line. to create a closed shape, double-click the starting point of the line. <st> click and release the mouse button to add an anchor point. move the mouse to draw the next segment. <st> click and drag in any direction to add a smooth anchor point.",do one of the following:,0
21,drawing curves,how to use the curve tool,"on the drawing toolbar, open the curves toolbar and select the curve tool. <st> click where you want the curve to start, and drag in the direction where you want the curve to go. the control line will indicate the direction. hold down shift while you drag to restrict the direction to a 45 degree grid. <st> release the mouse where the first control point should be. <st> move the pointer to where you want the curve segment to end. the curve follows the pointer. <st> do one of the following: double-click on the position of the end point to finish drawing the line. to create a closed shape, double-click the starting point of the line. click and release the mouse button to add an anchor point. move the mouse to draw the next segment. click and drag in any direction to add a smooth anchor point.",corner,1
22,drawing curves,how to use the freeform line tool,"on the drawing toolbar, open the curves toolbar and select the freeform line tool. <st> click where you want the curve to start, and keep holding the mouse button down. <st> draw the freeform line as you would do with a pencil. <st> release the mouse button to finish the line.",click and drag in any direction to add a smooth anchor point.,1
23,changing row height or column width,using the mouse to change the row height or column width,"click the area of the headers on the separator below the current row, keep the mouse button pressed and drag up or down in order to change the row height. <st> select the optimal row height by double-clicking the separator below the row.",,1
24,changing row height or column width,using the dialog to change the row height or column width,click the row so that you achieve the focus. <st> start the context menu on the header at the left-hand side. you will see the commands row height and optimal row height . choosing either opens a dialog.,select the optimal row height by double-clicking the separator below the row.,1
25,chart wizard - chart type,to choose a chart type,"choose a basic chart type : click any of the entries labeled column, bar, pie, and so on. the contents on the right side will change to offer more options depending on the basic chart type. <st> optionally, click any of the options. while you change the settings in the wizard, watch the preview in the document to see how the chart will look.",press shift+f1 and point to a control to learn more about that control.,1
26,loading line and arrow styles,to load a line styles file:,"choose format - line , and then click the line styles tab. <st> click the load line styles button. <st> locate the file containing the line styles that you want to load, and then click ok . the file has the format filename.sod.","you can use styles to organize similar line and arrow types. libreoffice provides a few standard style files that you can load and use in your document. if you want, you can add or delete elements from a style file, or even create a custom style file.",1
27,loading line and arrow styles,to load an arrow styles file:,"choose format - line , and then click the arrow styles tab. <st> click the load arrow styles button. <st> locate the file containing the arrow styles that you want to load, and then click ok . the file has the format filename.soe.",ok,1
28,saving a presentation in html format,saving a presentation in html format,"open the presentation that you want to save in html format. <st> choose file - export . <st> set the file type to html document (libreoffice impress) (.html;.htm) . <st> enter a file name , and then click export . <st> follow the instructions in the html export wizard.",,1
29,calculating with dates and times,calculating with dates and times,"in a spreadsheet, enter your birthday in cell a1. <st> enter the following formula in cell a3: =now()-a1 <st> after pressing the enter key you will see the result in date format. since the result should show the difference between two dates as a number of days, you must format cell a3 as a number. <st> place the cursor in cell a3, right-click to open a context menu and choose format cells . <st> the format cells dialog appears. on the numbers tab, the ""number"" category will appear already highlighted. the format is set to ""general"", which causes the result of a calculation containing date entries to be displayed as a date. to display the result as a number, set the number format to ""-1,234"" and close the dialog with the ok button. <st> the number of days between today's date and the specified date is displayed in cell a3. <st> experiment with some additional formulas: in a4 enter =a324 to calculate the hours, in a5 enter =a460 for the minutes, and in a6 enter =a560 for seconds. press the enter key after each formula.","in libreoffice calc, you can perform calculations with current date and time values. as an example, to find out exactly how old you are in seconds or hours, follow the following steps:",1
30,emphasizing text,emphasizing text,"select the text and apply a different font style or effect, such as bold . <st> right-click in a paragraph, choose paragraph, set the options that you want, for example, the background color, and then click ok . <st> select the text, and then choose insert - frame . <st> use the text tool on the drawing toolbar. <st> use fontwork. to open the fontwork window, click the fontwork gallery icon on the drawing bar.",here are a few examples of how to emphasize text in a document:,0
31,calculating across tables,calculating across tables,"open a text document, insert two tables, and type numbers in a few cells in both tables. <st> place your cursor in an empty cell in one of the tables. <st> press f2. <st> in the formula bar , enter the function that you want to perform, for example, =sum . <st> click in a cell containing a number, press the plus sign (+), and then click in a different cell containing a number. <st> press enter .",you can perform calculations that span across more than one table in a text document.,1
32,opening documents saved in other formats,converting all documents of a folder,choose file - wizards - document converter .,"open the wizard, which guides you through the operation, to copy and convert all documents from microsoft word, microsoft excel or microsoft powerpoint into opendocument file format documents. you can select a source and target directory, specify whether to convert documents andor templates, and more besides.",0
33,opening documents saved in other formats,opening html files in writer,"choose the file type ""html document"" to open in libreoffice writerweb. this is the default for html documents in libreoffice . all the options of libreoffice writerweb are now available to you, such as show html source . <st> choose ""html document ( libreoffice writer)"" to open in libreoffice writer. all the options of libreoffice writer are now available to you. not all options that libreoffice writer offers for editing of documents can be saved in html format.","opening html files in writer


choose the file type ""html document"" to open in libreoffice writerweb. this is the default for html documents in libreoffice.
all the options of libreoffice writerweb are now available to you, such as show html source.


choose ""html document (libreoffice writer)"" to open in libreoffice writer.
all the options of libreoffice writer are now available to you. not all options that libreoffice writer offers for editing of documents can be saved in html format.",0
34,opening documents saved in other formats,opening documents saved in other formats,choose file - open . <st> select a format from the files of type list. <st> select a file name and click open .,you can open a document saved in another format by using the following procedure:,1
