,Page_title,Subtitle,Lists,Context,List_tags
0,How do I calibrate my camera?,More Information,Calibration,More Information,0
1,How do I calibrate my camera?,See Also,"How do I calibrate my printer? — Calibrating your printer is important to print accurate colors. <st> How do I calibrate my scanner? — Calibrating your scanner is important to capture accurate colors. <st> How do I calibrate my screen? — Calibrating your screen is important to display accurate
    colors. <st> Which target types are supported? — Calibration targets are needed to do scanner and camera profiling.",See Also,0
3,Control location services,Turn off the geolocation features of your desktop,"Open the Activities overview and
      start typing Privacy . <st> Click on Privacy to open the panel. <st> Set the Location Services switch to OFF . To re-enable this feature, set the Location Services switch
     to ON .",Turn off the geolocation features of your desktop,1
4,Files list columns preferences,Files list columns preferences,"The first character is the file type. - means regular
          file and d means directory (folder). In rare cases, other
          characters can also be shown. <st> The next three characters rwx specify permissions for
          the user who owns the file. <st> The next three rw- specify permissions for all members
          of the group that owns the file. <st> The last three characters in the column r-- specify
          permissions for all other users on the system.",drwxrw-r--,0
5,Files list columns preferences,Files list columns preferences,"r : readable, meaning that you can open the file or
          folder <st> w : writable, meaning that you can save changes to it <st> x : executable, meaning that you can run it if it is a
          program or script file, or you can access subfolders and files if it
          is a folder <st> - : permission not set",Each permission has the following meanings:,0
8,Change which mail application is used to write emails,Change which mail application is used to write emails,"Open the Activities overview and
      start typing Details . <st> Click on Details to open the panel. <st> Choose Default Applications from the list on the left side
      of the window. <st> Choose which email client you would like to be used by default by
      changing the Mail option.","When you click a button or link to send a new email (for example, in your
  word processing application), your default mail application will open up with
  a blank message, ready for you to write. However, if you have more than one
  mail application installed, the wrong mail application might open up. You
  can fix this by changing which one is the default email application:",1
10,Change which web browser opens websites by default,Change which web browser opens websites by default,"Open the Activities overview and
      start typing Details . <st> Click on Details to open the panel. <st> Choose Default Applications from the list on the left side
      of the window. <st> Choose which web browser you would like to open links by
      changing the Web option.","When you click a link to a web page in any application, a web browser will
  automatically open up to that page. However, if you have more than one
  browser installed, the page may not open up in the browser you wanted it to
  open in. To fix this, change the default web browser:",1
11,Mouse pointer is not moving,Mouse pointer is not moving,Check that the mouse is plugged in <st> Check that the mouse actually works <st> Checking wireless mice,Mouse pointer is not moving,1
12,Mouse pointer is not moving,Checking wireless mice,"Make sure the mouse is turned on. There is often a switch on the
      bottom of the mouse to turn the mouse off completely, so you can take it
      with you without it constantly waking up. <st> If you are using a Bluetooth mouse, make sure you have actually paired the
   mouse with your computer. See Connect your computer to a Bluetooth device . <st> Click a button and see if the mouse pointer moves now. Some wireless mice go
   to sleep to save power, so might not respond until you click a button.
   See Mouse reacts with delay before it starts working . <st> Check that the battery of the mouse is charged. <st> Make sure that the receiver (dongle) is firmly plugged in to the computer. <st> If your mouse and receiver can operate on different radio channels, make
   sure that they are both set to the same channel. <st> You may need to press a button on the mouse, receiver or both to establish
   a connection. The instruction manual of your mouse should have more details
   if this is the case.",Checking wireless mice,1
13,Mouse pointer is not moving,More Information,Common mouse problems,More Information,0
14,Connect to a hidden wireless network,More Information,"Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
